Date,"Socialism"
2019-03-14,8055
2019-03-15,7550
2019-03-16,6669
2019-03-17,7022
2019-03-18,8009
2019-03-19,8430
2019-03-20,7351
2019-03-21,6937
2019-03-22,6570
2019-03-23,5291
2019-03-24,5683
2019-03-25,6418
2019-03-26,6768
2019-03-27,6469
2019-03-28,6413
2019-03-29,6056
2019-03-30,5493
2019-03-31,6138
2019-04-01,6502
2019-04-02,7472
2019-04-03,8027
2019-04-04,7620
2019-04-05,6562
2019-04-06,6874
2019-04-07,6424
2019-04-08,9361
2019-04-09,6655
2019-04-10,6874
2019-04-11,6547
2019-04-12,5840
2019-04-13,4787
2019-04-14,5273
2019-04-15,6586
2019-04-16,6872
2019-04-17,6563
2019-04-18,5733
2019-04-19,4510
2019-04-20,4149
2019-04-21,4591
2019-04-22,6062
2019-04-23,6405
2019-04-24,5656
2019-04-25,5366
2019-04-26,4874
2019-04-27,4389
2019-04-28,5606
2019-04-29,7131
2019-04-30,7551
2019-05-01,7864
2019-05-02,7190
2019-05-03,5750
2019-05-04,4737
2019-05-05,5477
2019-05-06,6344
2019-05-07,6003
2019-05-08,5902
2019-05-09,5760
2019-05-10,5045
2019-05-11,4479
